Component;Sub component;Quantity;Manufacturer Part Number;Link
DIYFAN_V1_Tripod.stl;;1;;
DIYFAN_V1_Stick.step;;3;;
Screw M3 x 8 mm;;3;;
Wood Screw 3,5x30;;6;;
